Publication ID,	INFANT  ID,	GD 30 vs 45,	Group,	Date,	Week,	Days before placement with a female,	Sex,	Gestational age,	Birth weight,	Speed,	RF Duty cycle,	RH Duty cycle,	LF Duty cycle,	LH Duty cycle,	BOS- Front,	BOS- Hind,	
044-507,	9,	45,	0,	43571,	2,	6,	F,	163,	0.5,	30.8766344975031,	62.8609645579679,	62.734980620155,	63.1177967641386,	65.9722222222222,	5.95410628019324,	4.54710144927536,	
044-507,	9,	45,	0,	43578,	3,	6,	F,	163,	0.5,	56.6980370048531,	51.1699665090622,	59.1811594202898,	56.1816168327796,	61.3441846686615,	4.63489409141583,	3.69565217391304,	
044-507,	9,	45,	0,	43585,	4,	6,	F,	163,	0.5,	27.7276081228224,	62.919052273891,	60.0725635081619,	56.1773864783441,	56.099706744868,	4.73896574440053,	3.16040843214756,	
044-505,	8,	45,	0,	43682,	4,	10,	F,	161,	0.434,	17.4430001122176,	61.7042124542125,	73.6117799128598,	65.0684896695535,	69.3644133166391,	2.27777777777778,	6.95531400966183,	
044-506,	7,	45,	0,	43682,	2,	30,	M,	158,	0.558,	18.2500853536521,	69.862240954722,	79.7866287095422,	71.2327491770129,	72.6153812287703,	4.35926773455378,	6.62617220801364,	
044-506,	7,	45,	0,	43688,	3,	30,	M,	158,	0.558,	22.3291464388329,	72.2237534490758,	67.8708180129106,	73.5985264822777,	72.3547656806573,	5.01811594202899,	5.8004981884058,	
044-506,	7,	45,	0,	43696,	4,	30,	M,	158,	0.558,	16.9078796089376,	74.5217391304348,	68.6328031392284,	70.9888298918387,	69.2146664640781,	4.85507246376812,	6.73913043478261,	
044-508,	5,	45,	0,	43728,	3,	0,	F,	159,	0.44,	29.3493895885489,	72.8686754904722,	75.3582206522248,	66.3132259794399,	68.3316430020284,	4.51086956521739,	5.37764771460424,	
046-501,	18,	45,	3,	43773,	2,	0,	F,	160,	0.493,	25.3909043149007,	59.001221001221,	71.3813246817714,	64.0054302129528,	74.6342866483073,	6.15942028985507,	4.84488224637681,	
046-501,	18,	45,	3,	43780,	3,	0,	F,	160,	0.493,	33.3055803265099,	63.7620519315566,	68.2539682539683,	65.9253271653571,	68.7140637140637,	5.66252587991718,	4.85507246376811,	
046-501,	18,	45,	3,	43787,	4,	0,	F,	160,	0.493,	25.3079398156723,	58.0003248862898,	61.6307392522226,	58.3627576190119,	56.0628019323672,	6.53985507246377,	3.47826086956522,	
046-502,	19,	45,	3,	43773,	2,	5,	F,	160,	0.536,	7.45976434732141,	70.8602578802296,	74.890444415362,	73.7963493843156,	84.3076317353997,	3.98876811594203,	5.92295957284516,	
046-502,	19,	45,	3,	43780,	3,	5,	F,	160,	0.536,	9.35196124528913,	63.6123045805535,	70.0856497369023,	68.4800459692001,	80.6217982688571,	4.08740942028985,	5.70652173913043,	
046-502,	19,	45,	3,	43787,	4,	5,	F,	160,	0.536,	20.5958896143125,	65.9388237606907,	74.9112950916617,	68.631379585327,	77.420208076177,	4.95471014492753,	5.70652173913043,	
046-506,	40,	45,	3,	44223,	2,	30,	M,	158,	0.558,	8.01336509047342,	76.6200980392157,	74.5513086154112,	74.9237557756876,	77.6643990929705,	6.25,	4.45652173913043,	
046-506,	40,	45,	3,	44230,	3,	30,	M,	158,	0.558,	5.95360937304878,	81.3647909412249,	80.3307925666147,	83.285219953225,	73.534385916723,	4.29121376811594,	4.506038647343,	
046-506,	40,	45,	3,	44237,	4,	30,	M,	158,	0.558,	10.0369373746014,	79.6543281280123,	66.5603524941386,	79.8907907475484,	71.3407771125885,	4.59030100334448,	5.58959156785244,	
