044-507,	0,	1,	1.458333333,	0.9285714286,	1.467272727,	0.8771428571,	0.75,	1,	2,	1.666666667
044-507,	0,	2,	1.479166667,	1.285714286,	1.007272727,	1.082857143,	1.625,	1.25,	2,	1.333333333
044-507,	0,	3,	0.6875,	1.785714286,	0.4709090909,	1.382857143,	0.625,	1,	0,	0.8333333333
044-507,	0,	4,	1.166666667,	1.857142857,	0.3036363636,	1.191428571,	2,	2,	0,	1
044-505,	0,	1,	0.9583333333,	0.5714285714,	1.972727273,	1.742857143,	1,	0.75,	1.5,	0.8333333333
044-505,	0,	2,	1.708333333,	0.8571428571,	1.458181818,	1.345,	1.75,	2,	2,	1.5
044-505,	0,	3,	1.625,	1,	1.176363636,	1.009285714,	1.75,	2,	2,	1.333333333
044-505,	0,	4,	1.791666667,	1.142857143,	1.025454545,	1.361428571,	1.75,	2,	2,	1.666666667
044-506,	0,	1,	1.583333333,	0.6428571429,	1.676363636,	1.42,	2,	1,	2,	1.5
044-506,	0,	2,	0.75,	1.5,	1.558181818,	1.645,	1.75,	0,	1.25,	0.5
044-506,	0,	3,	0.9166666667,	1.071428571,	1.490909091,	1.378571429,	1,	0,	2,	0.8333333333
044-506,	0,	4,	1.791666667,	1.428571429,	1.385454545,	1.498571429,	2,	1.75,	2,	1.666666667
044-508,	0,	1,	1.270833333,	0.4285714286,	1.212727273,	1.155714286,	0.875,	1.25,	2,	1.166666667
044-508,	0,	2,	1.458333333,	1.214285714,	0.5490909091,	1.416428571,	1.75,	2,	2,	1
044-508,	0,	3,	1.854166667,	1.357142857,	1.252727273,	1.397142857,	1.875,	1.75,	2,	1.833333333
044-508,	0,	4,	1.583333333,	1.642857143,	0.7781818182,	1.490714286,	2,	1.5,	2,	1.333333333
046-501,	3,	1,	1.4375,	0.5,	1.463636364,	1.442857143,	1.125,	0.5,	2,	1.666666667
046-501,	3,	2,	1.3125,	0.9285714286,	1.578181818,	1.337142857,	1.625,	0.75,	2,	1.166666667
046-501,	3,	3,	1.145833333,	1.5,	1.056,	1.58,	1.625,	2,	1.25,	0.6666666667
046-501,	3,	4,	1.041666667,	1.714285714,	0.6927272727,	1.463571429,	0.25,	2,	0.5,	1.166666667
046-502,	3,	1,	1.583333333,	0.7857142857,	1.267272727,	1.580714286,	1.5,	2,	2,	1.333333333
046-502,	3,	2,	0.9583333333,	1.071428571,	1.182,	1.135,	1.75,	0.5,	2,	0.5
046-502,	3,	3,	1.291666667,	1,	0.918,	1.186428571,	2,	0.5,	1.75,	1.166666667
046-502,	3,	4,	0.9166666667,	1.428571429,	0.8745454545,	0.9814285714,	1.5,	0,	1.5,	0.8333333333
046-505,	3,	1,	1.708333333,	0.3571428571,	1.994545455,	1.42,	1.5,	2,	1.75,	1.666666667
046-505,	3,	2,	1.770833333,	0.7142857143,	1.716363636,	1.304285714,	1.875,	1.75,	2,	1.666666667
046-505,	3,	3,	1.666666667,	0.7142857143,	1.734,	1.495,	2,	1.5,	2,	1.5
046-505,	3,	4,	1.916666667,	0.8571428571,	1.278181818,	1.240714286,	2,	2,	2,	1.833333333
046-506,	3,	1,	1.020833333,	0.5,	1.518181818,	1.117857143,	1.625,	0.75,	1.25,	0.8333333333
046-506,	3,	2,	1.125,	0.7857142857,	1.676363636,	1.312857143,	1.25,	0.75,	1.75,	1
046-506,	3,	3,	1.666666667,	1,	1.62,	1.438571429,	2,	1.5,	2,	1.5
046-506,	3,	4,	1.208333333,	1.428571429,	0.8963636364,	1.533571429,	2,	1,	1.75,	0.8333333333
